id_persona,sexoact,fnacact,edadact,redadact,estcivil,dpto,aportante,tipo_cargo,remuneracion,aporte_armador,aporte_trabajador,aporte_total,primer_periodo,ultimo_periodo,nro_semanas,montos_aportes
592042880132,1,04/09/1969,53,4,2,2,0,,,,,,201402,201509,435,
592105340132,1,16/12/1968,54,4,,2,0,6,1572.12,78.61,125.77,204.38,201511,201601,5,399.38
592151270132,1,06/07/1969,53,4,1,2,1,6,179.56,,82,82,201402,202306,712,50024.54
592188260132,1,10/03/1970,53,4,1,2,1,2,555.3,,82,82,201407,202306,782,109327.52
592200940132,1,24/03/1970,53,4,2,2,1,6,51.58,,82,82,201402,202306,346,57041.08000000002
592279030132,1,22/03/1970,53,4,2,2,1,6,343.36,,82,82,201406,202306,449,85475.90000000001
592354760132,1,25/04/1968,55,5,2,2,1,6,5125.71,,410.06,410.06,201406,202306,673,87414.39000000003
592413970132,1,03/10/1969,53,4,1,2,0,,,,,,201403,201606,341,497.7900000000001
592497290132,1,28/08/1970,52,4,1,14,0,,,,,,201406,201606,7,1125.3
592535290132,1,13/08/1970,52,4,1,2,1,,961.01,,82,82,201405,202306,648,94554.55000000002
592576190132,1,01/03/1966,57,5,2,2,1,6,2445.65,,195.65,195.64999,201402,202306,544,72470.56
592681240132,1,19/07/1970,52,4,1,2,1,6,1409.7,,112.78,112.78,201402,202306,422,87430.98000000003
592734930132,1,11/03/1967,56,5,1,2,1,6,150.16,,82,82,202005,202306,191,7766.590000000001
592798650132,1,01/11/1969,53,4,1,2,0,,,,,,201511,201511,182,
592896830132,1,02/08/1970,52,4,1,2,1,2,2980.14,,238.41,238.41,201402,202306,566,77484.27
592917670132,1,26/02/1969,54,4,2,2,0,,,,,,201405,201508,122,768.9
592936670132,1,17/06/1968,55,5,1,2,1,6,1733.32,,138.67,138.67,201402,202306,360,87892.68000000004
593056570132,1,21/04/1962,61,5,2,2,1,6,1043.67,,83.48999999999999,83.489998,201405,202306,758,96556.57999999999
593117890132,1,01/11/1957,65,6,2,15,0,3,3934.5,196.73,314.76,511.48999,201405,201911,656,89249.36999999997
593156610132,1,02/06/1971,52,4,1,2,0,,,,,,201405,201907,315,16330.08
593167580143,1,30/11/1986,36,3,1,2,0,,3100,155,248,403,202005,202006,3,714.58
593288430132,1,15/08/1971,51,4,1,2,1,6,1616.03,,129.28,129.28,201402,202306,398,70065.42
593294120132,1,13/07/1971,51,4,2,2,1,6,1582.62,,126.61,126.61,201406,202306,589,64666.00000000001
593302020132,1,22/02/1972,51,4,1,2,0,6,3451.81,,276.14,276.14001,201403,202207,313,13210.46
593476700132,1,20/03/1970,53,4,2,2,0,,166.1,37.5,60,97.5,201402,201403,506,97.5
593499690145,1,04/01/1984,39,3,1,22,0,6,834.34,41.72,66.75,108.47,201410,201508,37,205.97
